 Problem ,Equation,Solution,Class
संध्या के पास 46 बोतल हैं। उसने ऐसे 37 समूह बनाए। कुल बोतल कितने हुए?,46 * 37,1702,Multiplication
जितेश के पास 101 किताब हैं और अलिशा के पास 52 किताब हैं। दोनों के पास मिलाकर कितने किताब हैं?,101 + 52,153,Addition
विनीता के पास 25 चार्जर हैं और नमिता के पास 57 चार्जर हैं। दोनों के पास मिलाकर कितने चार्जर हैं?,25 + 57,82,Addition
"प्रियंका के पास 70 फूल थे, उसने 47 फूल दे दिए। अब उसके पास कितने फूल बचे?",70 - 47,23,Subtraction
प्रियंका के पास 6 कुर्सी हैं। उसने इन्हें 2 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने कुर्सी मिले?,6 ÷ 2,3,Division
सयान्ती के पास 155 टॉफ़ी हैं। उसने ऐसे 157 समूह बनाए। कुल टॉफ़ी कितने हुए?,155 * 157,24335,Multiplication
निम्मी के पास 173 बैग हैं और जितेश के पास 37 बैग हैं। दोनों के पास मिलाकर कितने बैग हैं?,173 + 37,210,Addition
निम्मी के पास 110 हेलमेट हैं। उसने ऐसे 163 समूह बनाए। कुल हेलमेट कितने हुए?,110 * 163,17930,Multiplication
जयंती के पास 102 हेलमेट हैं। उसने ऐसे 154 समूह बनाए। कुल हेलमेट कितने हुए?,102 * 154,15708,Multiplication
हर्षिता के पास 128 फूल हैं। उसने ऐसे 154 समूह बनाए। कुल फूल कितने हुए?,128 * 154,19712,Multiplication
नमिता के पास 35 किताब हैं और रश्मिता के पास 41 किताब हैं। दोनों के पास मिलाकर कितने किताब हैं?,35 + 41,76,Addition
लक्ष्मी के पास 154 घड़ी हैं। उसने ऐसे 47 समूह बनाए। कुल घड़ी कितने हुए?,154 * 47,7238,Multiplication
हर्षिता के पास 94 टॉफ़ी हैं। उसने ऐसे 117 समूह बनाए। कुल टॉफ़ी कितने हुए?,94 * 117,10998,Multiplication
प्रकृति के पास 148 टॉफ़ी हैं और हर्षिता के पास 26 टॉफ़ी हैं। दोनों के पास मिलाकर कितने टॉफ़ी हैं?,148 + 26,174,Addition
संध्या के पास 270 किताब हैं। उसने इन्हें 9 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने किताब मिले?,270 ÷ 9,30,Division
सयान्ती के पास 3 किताब हैं। उसने इन्हें 1 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने किताब मिले?,3 ÷ 1,3,Division
विनीता के पास 52 फ़ोन हैं। उसने ऐसे 111 समूह बनाए। कुल फ़ोन कितने हुए?,52 * 111,5772,Multiplication
किंजल के पास 139 घड़ी हैं और नीरा के पास 2 घड़ी हैं। दोनों के पास मिलाकर कितने घड़ी हैं?,139 + 2,141,Addition
जितेश के पास 280 घड़ी हैं। उसने इन्हें 14 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने घड़ी मिले?,280 ÷ 14,20,Division
हर्षिता के पास 39 कुर्सी हैं। उसने ऐसे 180 समूह बनाए। कुल कुर्सी कितने हुए?,39 * 180,7020,Multiplication
निम्मी के पास 97 फूल हैं। उसने ऐसे 84 समूह बनाए। कुल फूल कितने हुए?,97 * 84,8148,Multiplication
हर्षिता के पास 144 चार्जर हैं। उसने ऐसे 109 समूह बनाए। कुल चार्जर कितने हुए?,144 * 109,15696,Multiplication
नमिता के पास 129 कुर्सी हैं और अलिशा के पास 96 कुर्सी हैं। दोनों के पास मिलाकर कितने कुर्सी हैं?,129 + 96,225,Addition
विनीता के पास 630 फ़ोन हैं। उसने इन्हें 15 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने फ़ोन मिले?,630 ÷ 15,42,Division
प्रभा के पास 25 फ़ोन हैं। उसने ऐसे 51 समूह बनाए। कुल फ़ोन कितने हुए?,25 * 51,1275,Multiplication
"जितेश के पास 158 घड़ी थे, उसने 61 घड़ी दे दिए। अब उसके पास कितने घड़ी बचे?",158 - 61,97,Subtraction
जितेश के पास 170 बैग हैं। उसने ऐसे 70 समूह बनाए। कुल बैग कितने हुए?,170 * 70,11900,Multiplication
नीरा के पास 181 बोतल हैं। उसने ऐसे 73 समूह बनाए। कुल बोतल कितने हुए?,181 * 73,13213,Multiplication
जितेश के पास 175 बैग हैं। उसने इन्हें 7 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने बैग मिले?,175 ÷ 7,25,Division
"नमिता के पास 138 चार्जर थे, उसने 78 चार्जर दे दिए। अब उसके पास कितने चार्जर बचे?",138 - 78,60,Subtraction
मेघा के पास 43 कुर्सी हैं और अलिशा के पास 149 कुर्सी हैं। दोनों के पास मिलाकर कितने कुर्सी हैं?,43 + 149,192,Addition
प्रियंका के पास 140 फ़ोन हैं और विनीता के पास 192 फ़ोन हैं। दोनों के पास मिलाकर कितने फ़ोन हैं?,140 + 192,332,Addition
चर्मिता के पास 32 पेंसिल हैं और प्रकृति के पास 20 पेंसिल हैं। दोनों के पास मिलाकर कितने पेंसिल हैं?,32 + 20,52,Addition
प्रकृति के पास 84 कुर्सी हैं। उसने इन्हें 3 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने कुर्सी मिले?,84 ÷ 3,28,Division
"किंजल के पास 108 टॉफ़ी थे, उसने 20 टॉफ़ी दे दिए। अब उसके पास कितने टॉफ़ी बचे?",108 - 20,88,Subtraction
चर्मिता के पास 185 बैटरी हैं और नमिता के पास 27 बैटरी हैं। दोनों के पास मिलाकर कितने बैटरी हैं?,185 + 27,212,Addition
प्रियंका के पास 158 कुर्सी हैं और अलिशा के पास 131 कुर्सी हैं। दोनों के पास मिलाकर कितने कुर्सी हैं?,158 + 131,289,Addition
"लक्ष्मी के पास 111 कुर्सी थे, उसने 26 कुर्सी दे दिए। अब उसके पास कितने कुर्सी बचे?",111 - 26,85,Subtraction
प्रांजल के पास 49 पेन हैं और निम्मी के पास 85 पेन हैं। दोनों के पास मिलाकर कितने पेन हैं?,49 + 85,134,Addition
अलिशा के पास 88 टॉफ़ी हैं। उसने इन्हें 2 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने टॉफ़ी मिले?,88 ÷ 2,44,Division
"हर्षिता के पास 194 बैग थे, उसने 55 बैग दे दिए। अब उसके पास कितने बैग बचे?",194 - 55,139,Subtraction
"अलिशा के पास 112 फूल थे, उसने 86 फूल दे दिए। अब उसके पास कितने फूल बचे?",112 - 86,26,Subtraction
"जितेश के पास 87 बोतल थे, उसने 21 बोतल दे दिए। अब उसके पास कितने बोतल बचे?",87 - 21,66,Subtraction
हर्षिता के पास 4 बैटरी हैं और रश्मिता के पास 96 बैटरी हैं। दोनों के पास मिलाकर कितने बैटरी हैं?,4 + 96,100,Addition
विनीता के पास 65 पेन हैं और नीरा के पास 160 पेन हैं। दोनों के पास मिलाकर कितने पेन हैं?,65 + 160,225,Addition
लक्ष्मी के पास 133 फूल हैं। उसने ऐसे 161 समूह बनाए। कुल फूल कितने हुए?,133 * 161,21413,Multiplication
"टंकेश्वर के पास 190 किताब थे, उसने 77 किताब दे दिए। अब उसके पास कितने किताब बचे?",190 - 77,113,Subtraction
"चर्मिता के पास 183 किताब थे, उसने 53 किताब दे दिए। अब उसके पास कितने किताब बचे?",183 - 53,130,Subtraction
निम्मी के पास 322 पेंसिल हैं। उसने इन्हें 7 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने पेंसिल मिले?,322 ÷ 7,46,Division
प्रांजल के पास 144 हेलमेट हैं। उसने इन्हें 9 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने हेलमेट मिले?,144 ÷ 9,16,Division
"किंजल के पास 199 बोतल थे, उसने 85 बोतल दे दिए। अब उसके पास कितने बोतल बचे?",199 - 85,114,Subtraction
चर्मिता के पास 21 चार्जर हैं और किंजल के पास 168 चार्जर हैं। दोनों के पास मिलाकर कितने चार्जर हैं?,21 + 168,189,Addition
मेघा के पास 79 बैग हैं और प्रभा के पास 168 बैग हैं। दोनों के पास मिलाकर कितने बैग हैं?,79 + 168,247,Addition
प्रियंका के पास 44 पेंसिल हैं और नीरा के पास 166 पेंसिल हैं। दोनों के पास मिलाकर कितने पेंसिल हैं?,44 + 166,210,Addition
लक्ष्मी के पास 45 पेन हैं। उसने इन्हें 9 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने पेन मिले?,45 ÷ 9,5,Division
"प्रकृति के पास 185 टॉफ़ी थे, उसने 163 टॉफ़ी दे दिए। अब उसके पास कितने टॉफ़ी बचे?",185 - 163,22,Subtraction
प्रांजल के पास 121 किताब हैं और संध्या के पास 29 किताब हैं। दोनों के पास मिलाकर कितने किताब हैं?,121 + 29,150,Addition
"प्रभा के पास 138 फूल थे, उसने 113 फूल दे दिए। अब उसके पास कितने फूल बचे?",138 - 113,25,Subtraction
मेघा के पास 99 पेन हैं और लक्ष्मी के पास 58 पेन हैं। दोनों के पास मिलाकर कितने पेन हैं?,99 + 58,157,Addition
"विनीता के पास 39 कुर्सी थे, उसने 25 कुर्सी दे दिए। अब उसके पास कितने कुर्सी बचे?",39 - 25,14,Subtraction
किंजल के पास 152 चार्जर हैं। उसने ऐसे 69 समूह बनाए। कुल चार्जर कितने हुए?,152 * 69,10488,Multiplication
निम्मी के पास 551 किताब हैं। उसने इन्हें 19 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने किताब मिले?,551 ÷ 19,29,Division
संध्या के पास 216 बैटरी हैं। उसने इन्हें 12 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने बैटरी मिले?,216 ÷ 12,18,Division
रश्मिता के पास 35 कुर्सी हैं। उसने ऐसे 139 समूह बनाए। कुल कुर्सी कितने हुए?,35 * 139,4865,Multiplication
"निम्मी के पास 181 फूल थे, उसने 170 फूल दे दिए। अब उसके पास कितने फूल बचे?",181 - 170,11,Subtraction
"निम्मी के पास 105 चार्जर थे, उसने 60 चार्जर दे दिए। अब उसके पास कितने चार्जर बचे?",105 - 60,45,Subtraction
जयंती के पास 154 फूल हैं और प्रकृति के पास 46 फूल हैं। दोनों के पास मिलाकर कितने फूल हैं?,154 + 46,200,Addition
"किंजल के पास 70 बोतल थे, उसने 33 बोतल दे दिए। अब उसके पास कितने बोतल बचे?",70 - 33,37,Subtraction
चर्मिता के पास 51 फ़ोन हैं। उसने ऐसे 190 समूह बनाए। कुल फ़ोन कितने हुए?,51 * 190,9690,Multiplication
अजय के पास 30 पेंसिलें थे। उसने 26 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,30 + 26,56,Addition
सीमा के पास 49 आम थे। उसने 41 आम दे दिए। अब उसके पास कितने आम बचें?,49 - 41,8,Subtraction
श्याम के पास 24 कपड़े थे। उसने 44 कपड़े दे दिए। अब उसके पास कितने कपड़े बचें?,24 - 44,-20,Subtraction
रीमा के पास 7 पेंसिलें थे। उसने 22 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,7 + 22,29,Addition
सोनू के पास 34 पेंसिलें थे। उसने 39 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,34 + 39,73,Addition
सुमित के पास 11 टॉफियाँ थे। उसने 2 टॉफियाँ दे दिए। अब उसके पास कितने टॉफियाँ बचें?,11-Feb,9,Subtraction
90 कपड़े को 5 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने कपड़े मिले?,90 ÷ 5,18,Division
रीमा के पास 77 पेंसिलें थे। उसने 43 पेंसिलें दे दिए। अब उसके पास कितने पेंसिलें बचें?,77 - 43,34,Subtraction
रवि ने 9 डिब्बे सेब खरीदे। हर डिब्बे में 12 सेब थे। कुल कितने सेब हुए?,9 * 12,108,Multiplication
सुमित के पास 11 आम थे। उसने 9 आम दे दिए। अब उसके पास कितने आम बचें?,11-Sep,2,Subtraction
अजय ने 9 डिब्बे खिलौने खरीदे। हर डिब्बे में 15 खिलौने थे। कुल कितने खिलौने हुए?,9 * 15,135,Multiplication
अजय के पास 90 आम थे। उसने 28 आम दे दिए। अब उसके पास कितने आम बचें?,90 - 28,62,Multiplication
मोनू ने 15 डिब्बे आम खरीदे। हर डिब्बे में 4 आम थे। कुल कितने आम हुए?,15 * 4,60,Multiplication
अमित के पास 76 संतरे थे। उसने 50 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,76 - 50,26,Subtraction
श्याम ने 11 डिब्बे आम खरीदे। हर डिब्बे में 5 आम थे। कुल कितने आम हुए?,11 * 5,55,Multiplication
रवि के पास 11 संतरे थे। उसने 19 और संतरे खरीदे। अब उसके पास कुल कितने संतरे हैं?,11 + 19,30,Addition
मोनू ने 18 डिब्बे टॉफियाँ खरीदे। हर डिब्बे में 6 टॉफियाँ थे। कुल कितने टॉफियाँ हुए?,18 * 6,108,Multiplication
श्याम के पास 98 खिलौने थे। उसने 3 खिलौने दे दिए। अब उसके पास कितने खिलौने बचें?,98 - 3,95,Subtraction
80 टॉफियाँ को 8 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने टॉफियाँ मिले?,80 ÷ 8,10,Division
श्याम के पास 21 कपड़े थे। उसने 12 और कपड़े खरीदे। अब उसके पास कुल कितने कपड़े हैं?,21 + 12,33,Addition
50 टॉफियाँ को 10 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने टॉफियाँ मिले?,50 ÷ 10,5,Division
18 पेंसिलें को 6 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने पेंसिलें मिले?,18 ÷ 6,3,Division
अमित ने 18 डिब्बे गेंदें खरीदे। हर डिब्बे में 8 गेंदें थे। कुल कितने गेंदें हुए?,18 * 8,144,Multiplication
श्याम के पास 49 किताबें थे। उसने 33 और किताबें खरीदे। अब उसके पास कुल कितने किताबें हैं?,49 + 33,82,Addition
मोनू के पास 31 खिलौने थे। उसने 28 और खिलौने खरीदे। अब उसके पास कुल कितने खिलौने हैं?,31 + 28,59,Addition
रीमा ने 13 डिब्बे संतरे खरीदे। हर डिब्बे में 3 संतरे थे। कुल कितने संतरे हुए?,13 * 3,39,Multiplication
रीमा ने 15 डिब्बे गेंदें खरीदे। हर डिब्बे में 11 गेंदें थे। कुल कितने गेंदें हुए?,15 * 11,165,Multiplication
श्याम के पास 21 संतरे थे। उसने 50 और संतरे खरीदे। अब उसके पास कुल कितने संतरे हैं?,21 + 50,71,Addition
मोनू के पास 89 टॉफियाँ थे। उसने 40 टॉफियाँ दे दिए। अब उसके पास कितने टॉफियाँ बचें?,89 - 40,49,Subtraction
260 सेब को 13 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने सेब मिले?,260 ÷ 13,20,Division
अमित के पास 25 संतरे थे। उसने 48 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,25 - 48,-23,Subtraction
अमित के पास 74 गेंदें थे। उसने 35 गेंदें दे दिए। अब उसके पास कितने गेंदें बचें?,74 - 35,39,Subtraction
51 संतरे को 3 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने संतरे मिले?,51 ÷ 3,17,Division
सोनू के पास 13 आम थे। उसने 22 आम दे दिए। अब उसके पास कितने आम बचें?,13 - 22,-9,Subtraction
27 खिलौने को 3 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने खिलौने मिले?,27 ÷ 3,9,Division
अजय के पास 22 खिलौने थे। उसने 33 खिलौने दे दिए। अब उसके पास कितने खिलौने बचें?,22 - 33,-11,Subtraction
राम ने 20 डिब्बे पेंसिलें खरीदे। हर डिब्बे में 4 पेंसिलें थे। कुल कितने पेंसिलें हुए?,20 * 4,80,Multiplication
91 टॉफियाँ को 7 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने टॉफियाँ मिले?,91 ÷ 7,13,Division
सोनू के पास 25 खिलौने थे। उसने 3 खिलौने दे दिए। अब उसके पास कितने खिलौने बचें?,25-Mar,22,Subtraction
रवि के पास 40 गेंदें थे। उसने 25 और गेंदें खरीदे। अब उसके पास कुल कितने गेंदें हैं?,40 + 25,65,Addition
54 पेंसिलें को 6 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने पेंसिलें मिले?,54 ÷ 6,9,Division
सुमित के पास 39 कपड़े थे। उसने 19 और कपड़े खरीदे। अब उसके पास कुल कितने कपड़े हैं?,39 + 19,58,Addition
15 संतरे को 3 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने संतरे मिले?,15 ÷ 3,5,Division
144 कपड़े को 12 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने कपड़े मिले?,144 ÷ 12,12,Division
सुमित के पास 13 पेंसिलें थे। उसने 47 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,13 + 47,60,Addition
सोनू के पास 36 गेंदें थे। उसने 14 और गेंदें खरीदे। अब उसके पास कुल कितने गेंदें हैं?,36 + 14,50,Addition
28 सेब को 4 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने सेब मिले?,28 ÷ 4,7,Division
मोनू ने 4 डिब्बे किताबें खरीदे। हर डिब्बे में 2 किताबें थे। कुल कितने किताबें हुए?,4 * 2,8,Multiplication
सोनू के पास 59 किताबें थे। उसने 26 किताबें दे दिए। अब उसके पास कितने किताबें बचें?,59 - 26,33,Subtraction
रवि के पास 27 खिलौने थे। उसने 30 खिलौने दे दिए। अब उसके पास कितने खिलौने बचें?,27 - 30,-3,Subtraction
मोनू के पास 45 गेंदें थे। उसने 32 गेंदें दे दिए। अब उसके पास कितने गेंदें बचें?,45 - 32,13,Subtraction
सीमा ने 12 डिब्बे आम खरीदे। हर डिब्बे में 14 आम थे। कुल कितने आम हुए?,12 * 14,168,Multiplication
मोनू ने 18 डिब्बे किताबें खरीदे। हर डिब्बे में 4 किताबें थे। कुल कितने किताबें हुए?,18 * 4,72,Multiplication
सुमित के पास 10 खिलौने थे। उसने 6 खिलौने दे दिए। अब उसके पास कितने खिलौने बचें?,10-Jun,4,Subtraction
अजय के पास 34 सेब थे। उसने 44 और सेब खरीदे। अब उसके पास कुल कितने सेब हैं?,34 + 44,78,Addition
रीमा के पास 48 गेंदें थे। उसने 7 और गेंदें खरीदे। अब उसके पास कुल कितने गेंदें हैं?,48 + 7,55,Addition
अमित के पास 36 टॉफियाँ थे। उसने 27 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,36 + 27,63,Addition
सुमित ने 3 डिब्बे बिस्कुट खरीदे। हर डिब्बे में 11 बिस्कुट थे। कुल कितने बिस्कुट हुए?,3 * 11,33,Multiplication
सुमित ने 14 डिब्बे गेंदें खरीदे। हर डिब्बे में 6 गेंदें थे। कुल कितने गेंदें हुए?,14 * 6,84,Multiplication
सीमा के पास 61 गेंदें थे। उसने 13 गेंदें दे दिए। अब उसके पास कितने गेंदें बचें?,61 - 13,48,Subtraction
27 किताबें को 9 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने किताबें मिले?,27 ÷ 9,3,Division
रवि ने 12 डिब्बे बिस्कुट खरीदे। हर डिब्बे में 7 बिस्कुट थे। कुल कितने बिस्कुट हुए?,12 * 7,84,Multiplication
24 किताबें को 3 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने किताबें मिले?,24 ÷ 3,8,Division
अमित ने 18 डिब्बे कपड़े खरीदे। हर डिब्बे में 6 कपड़े थे। कुल कितने कपड़े हुए?,18 * 6,108,Multiplication
154 किताबें को 11 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने किताबें मिले?,154 ÷ 11,14,Division
श्याम के पास 56 संतरे थे। उसने 47 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,56 - 47,9,Subtraction
सोनू ने 4 डिब्बे खिलौने खरीदे। हर डिब्बे में 3 खिलौने थे। कुल कितने खिलौने हुए?,4 * 3,12,Multiplication
56 संतरे को 8 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने संतरे मिले?,56 ÷ 8,7,Division
सुमित के पास 34 गेंदें थे। उसने 13 और गेंदें खरीदे। अब उसके पास कुल कितने गेंदें हैं?,34 + 13,47,Addition
रवि ने 2 डिब्बे बिस्कुट खरीदे। हर डिब्बे में 14 बिस्कुट थे। कुल कितने बिस्कुट हुए?,2 * 14,28,Multiplication
रीमा के पास 50 कपड़े थे। उसने 16 कपड़े दे दिए। अब उसके पास कितने कपड़े बचें?,50 - 16,34,Subtraction
मोनू के पास 37 किताबें थे। उसने 23 और किताबें खरीदे। अब उसके पास कुल कितने किताबें हैं?,37 + 23,60,Addition
270 किताबें को 15 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने किताबें मिले?,270 ÷ 15,18,Division
रीमा ने 2 डिब्बे गेंदें खरीदे। हर डिब्बे में 7 गेंदें थे। कुल कितने गेंदें हुए?,2 * 7,14,Multiplication
अजय ने 14 डिब्बे खिलौने खरीदे। हर डिब्बे में 11 खिलौने थे। कुल कितने खिलौने हुए?,14 * 11,154,Multiplication
मोनू के पास 20 पेंसिलें थे। उसने 31 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,20 + 31,51,Addition
सोनू ने 13 डिब्बे किताबें खरीदे। हर डिब्बे में 3 किताबें थे। कुल कितने किताबें हुए?,13 * 3,39,Multiplication
रीमा ने 16 डिब्बे टॉफियाँ खरीदे। हर डिब्बे में 13 टॉफियाँ थे। कुल कितने टॉफियाँ हुए?,16 * 13,208,Multiplication
सोनू के पास 47 आम थे। उसने 44 आम दे दिए। अब उसके पास कितने आम बचें?,47 - 44,3,Subtraction
मोनू के पास 99 संतरे थे। उसने 43 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,99 - 43,56,Subtraction
सोनू के पास 8 बिस्कुट थे। उसने 17 और बिस्कुट खरीदे। अब उसके पास कुल कितने बिस्कुट हैं?,8 + 17,25,Addition
अमित ने 16 डिब्बे खिलौने खरीदे। हर डिब्बे में 5 खिलौने थे। कुल कितने खिलौने हुए?,16 * 5,80,Multiplication
अजय के पास 17 पेंसिलें थे। उसने 47 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,17 + 47,64,Addition
33 खिलौने को 3 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने खिलौने मिले?,33 ÷ 3,11,Division
270 गेंदें को 15 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने गेंदें मिले?,270 ÷ 15,18,Division
राम के पास 77 बिस्कुट थे। उसने 44 बिस्कुट दे दिए। अब उसके पास कितने बिस्कुट बचें?,77 - 44,33,Subtraction
मोनू ने 11 डिब्बे संतरे खरीदे। हर डिब्बे में 14 संतरे थे। कुल कितने संतरे हुए?,11 * 14,154,Multiplication
श्याम के पास 49 पेंसिलें थे। उसने 16 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,49 + 16,65,Addition
अमित ने 20 डिब्बे संतरे खरीदे। हर डिब्बे में 4 संतरे थे। कुल कितने संतरे हुए?,20 * 4,80,Multiplication
35 बिस्कुट को 7 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने बिस्कुट मिले?,35 ÷ 7,5,Division
सीमा के पास 44 टॉफियाँ थे। उसने 20 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,44 + 20,64,Addition
रीमा ने 2 डिब्बे आम खरीदे। हर डिब्बे में 8 आम थे। कुल कितने आम हुए?,2 * 8,16,Multiplication
रीमा के पास 33 टॉफियाँ थे। उसने 26 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,33 + 26,59,Addition
अजय के पास 43 टॉफियाँ थे। उसने 42 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,43 + 42,85,Addition
श्याम के पास 45 टॉफियाँ थे। उसने 35 टॉफियाँ दे दिए। अब उसके पास कितने टॉफियाँ बचें?,45 - 35,10,Subtraction
20 पेंसिलें को 10 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने पेंसिलें मिले?,20 ÷ 10,2,Division
रीमा के पास 34 पेंसिलें थे। उसने 3 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,34 + 3,37,Addition
सीमा के पास 26 कपड़े थे। उसने 14 और कपड़े खरीदे। अब उसके पास कुल कितने कपड़े हैं?,26 + 14,40,Addition
रीमा के पास 74 संतरे थे। उसने 50 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,74 - 50,24,Subtraction
रीमा ने 20 डिब्बे टॉफियाँ खरीदे। हर डिब्बे में 12 टॉफियाँ थे। कुल कितने टॉफियाँ हुए?,20 * 12,240,Multiplication
सोनू के पास 36 खिलौने थे। उसने 31 और खिलौने खरीदे। अब उसके पास कुल कितने खिलौने हैं?,36 + 31,67,Addition
अमित के पास 100 आम थे। उसने 15 आम दे दिए। अब उसके पास कितने आम बचें?,100 - 15,85,Subtraction
24 गेंदें को 2 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने गेंदें मिले?,24 ÷ 2,12,Division
75 गेंदें को 5 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने गेंदें मिले?,75 ÷ 5,15,Division
रवि के पास 40 आम थे। उसने 29 और आम खरीदे। अब उसके पास कुल कितने आम हैं?,40 + 29,69,Addition
रीमा के पास 34 पेंसिलें थे। उसने 14 पेंसिलें दे दिए। अब उसके पास कितने पेंसिलें बचें?,34 - 14,20,Subtraction
राम के पास 40 खिलौने थे। उसने 32 और खिलौने खरीदे। अब उसके पास कुल कितने खिलौने हैं?,40 + 32,72,Addition
राम के पास 25 टॉफियाँ थे। उसने 5 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,25 + 5,30,Addition
अजय के पास 19 कपड़े थे। उसने 19 कपड़े दे दिए। अब उसके पास कितने कपड़े बचें?,19 - 19,0,Subtraction
रीमा के पास 66 सेब थे। उसने 24 सेब दे दिए। अब उसके पास कितने सेब बचें?,66 - 24,42,Subtraction
अमित के पास 40 किताबें थे। उसने 17 और किताबें खरीदे। अब उसके पास कुल कितने किताबें हैं?,40 + 17,57,Addition
30 बिस्कुट को 15 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने बिस्कुट मिले?,30 ÷ 15,2,Division
श्याम के पास 49 कपड़े थे। उसने 2 कपड़े दे दिए। अब उसके पास कितने कपड़े बचें?,49 - 2,47,Subtraction
अमित ने 2 डिब्बे कपड़े खरीदे। हर डिब्बे में 6 कपड़े थे। कुल कितने कपड़े हुए?,2 * 6,12,Multiplication
अमित के पास 41 पेंसिलें थे। उसने 48 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,41 + 48,89,Addition
रवि के पास 11 बिस्कुट थे। उसने 33 और बिस्कुट खरीदे। अब उसके पास कुल कितने बिस्कुट हैं?,11 + 33,44,Addition
सुमित के पास 19 गेंदें थे। उसने 30 और गेंदें खरीदे। अब उसके पास कुल कितने गेंदें हैं?,19 + 30,49,Addition
राम के पास 85 पेंसिलें थे। उसने 13 पेंसिलें दे दिए। अब उसके पास कितने पेंसिलें बचें?,85 - 13,72,Subtraction
सीमा के पास 1 बिस्कुट थे। उसने 23 और बिस्कुट खरीदे। अब उसके पास कुल कितने बिस्कुट हैं?,1 + 23,24,Addition
112 पेंसिलें को 7 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने पेंसिलें मिले?,112 ÷ 7,16,Division
39 कपड़े को 13 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने कपड़े मिले?,39 ÷ 13,3,Division
रवि के पास 85 सेब थे। उसने 17 सेब दे दिए। अब उसके पास कितने सेब बचें?,85 - 17,68,Subtraction
राम के पास 37 पेंसिलें थे। उसने 49 पेंसिलें दे दिए। अब उसके पास कितने पेंसिलें बचें?,37 - 49,-12,Subtraction
55 टॉफियाँ को 5 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने टॉफियाँ मिले?,55 ÷ 5,11,Division
सीमा ने 5 डिब्बे आम खरीदे। हर डिब्बे में 11 आम थे। कुल कितने आम हुए?,5 * 11,55,Multiplication
